Paper_ID,Paper,Class,Species,Control_Reps,Control_MHS,Control_SD,Treat_Reps,Treat_MHS,Treat_SD,Control_Success,Treatment_Success,Hatch_Change,Significance,PlotDigitizer Used?,Plastic Type,Dosage,Exposure Period,Reference,Other Data?
1,Polystyrene microplastics induced male reproductive toxicity and transgenerational effects in freshwater prawn,Crustacea,Macrobrachium nipponense,4,0.95,0.0716,4,0.624,0.12,95,62.4,-32.6,*,Y,PS,20 mg/L,7d,Sun et al. 2022,
2,Effects of chronic exposure to microplastics of different polymer types on early life stages of sea trout Salmo trutta,Actinopterygii,Salmo trutta,1,0.9868,0.04629976,1,0.9711,0.145086075,98.68,97.11,-1.57,NS,N,PS,2.8 mg/L,113d,Jakubowska et al. 2020,PET Available
4,The Impacts of Microplastics on Zooplankton,Copepoda,Calanus helgolandicus,5,0.645,0.11,5,0.663,0.163,64.5,66.3,1.8,NS,N,PS,75 beads/ml,8d,Cole M. 2014,
5,Effects of different types of primary microplastics on early life stages of rainbow trout (Oncorhynchus mykiss),Actinopterygii,Oncorhynchus mykiss,3,0.9899,0.0034,3,0.991,0.0052,98.99,99.1,0.11,NS,N,PS,0.1% of sediment dry weight,69d,Jakubowska et al. 2022,"PET, PE and shorter exposure period"
6,The effects of a microplastic mixture on wood frogs (Rana sylvatica) across multiple life stages in an outdoor mesocosm experiment,Amphibia,Rana sylvatica,5,0.75,0.053,5,0.7,0.035,75,70,-5,NS,N,PP + PS + PET,0.69 g/L,8d,Gene et al. 2025,also a 0.069 concentration available
7,"Effects of microplastics on hatching success, ingestion, and gut retention in early developmental stages of golden trevally (Gnathanodon speciosus)",Actinopterygii,Gnathanodon speciosus,3,0.9,0.2,3,0.88,0.2,90,88,-2,NS,N,LDPE,10? particles m?³,Fertilised egg until hatching,Leu et al. 2025,also 10^4 particles m?³
8,Polyethylene microplastics increase the toxicity of chlorpyrifos to the marine copepod Acartia tonsa,Copepoda,Acartia tonsa,3,0.782,0.14,3,0.7447,0.0957,78.2,74.47,-3.73,NS,Y,HDPE,2000 parts/ml,3d,Bellas and Gil. 2020,Also values at 20 and 200 parts/ml
9,"Particles, chemicals or both? Assessing the drivers of the multidimensional toxicity of car tire rubber microplastic on early life stages of Atlantic cod",Actinopterygii,Gadus morhua,4,0.888,0.007,4,0.714,0.037,88.8,71.4,-17.4,*,N,CTR,100 mg L?¹,4d, Piarulli et al. 2025,Also data for pre-leached
10,Acute Effects of Size Dependent Low-Density Polyethylene Microplastics on Zebrafish,Actinopterygii,Danio rerio,2,1,0.0976,2,1,0.0934,100,100,0,NS,Y,LDPE,1 µg/ml,4d,Sankar et al. 2025,Different Sizes available - same result
11,Microplastics Affect Rates of Locomotion and Reproduction via Dietary Uptake in Globally Invasive Snail Physa acuta,Gastropoda,Physa acuta,10,0.6434,0.0589,10,0.12,0.1104,64.34,12,-52.34,***,N,PS,40 mg/200 mL,adults 93d + eggs up to 20d,Kumari et al. 2023,
12,Nanoplastic exposure in soil compromises the energy budget of the soil nematode C. elegans and decreases reproductive fitness,Chromadorea,Caenorhabditis elegans,4,1,0.0176,4,0.9568,0.0304,100,95.68,-4.32,*,Y,PS,1000 mg/kg (dry weight),4d,Huang et al. 2022,"Also concentrations at 1, 10, 100"
13,A Deep Dive into the Complex Chemical Mixture and Toxicity of Tire Wear Particle Leachate in Fathead Minnow,Actinopterygii,Pimephales promelas,3,1,0,3,0.215,0.2252,100,21.5,-78.5,*,Y,CTR,10 g/L,10d,Chibwe et al. 2021,1d and 3d also available
14,Fate and effects of microplastic particles in a periphyton-grazer system,Gastropoda,Physa acuta,8,0.54,0.064,8,0.3,0.052,54,30,-24,*,N,Propreitary MP,17.8 ?g mL?1,28d,Merbt et al. 2024,
15,Low level of polystyrene microplastics decreases early developmental toxicity of phenanthrene on marine medaka (Oryzias melastigma),Actinopterygii,Oryzias melastigma,3,0.798,0.0038,3,0.647,0.0217,79.8,64.7,-15.1,*,Y,PS,200 ?g/L,28d,Li et al. 2020,"also at  2, 20 ?g/L"
16,The combined toxic effects of polyvinyl chloride microplastics and di(2-ethylhexyl) phthalate on the juvenile zebrafish (Danio rerio),Actinopterygii,Danio rerio,6,0.9467,0.0499,6,0.3378,1.69,94.67,33.78,-60.89,*,Y,PVC,0.1 ppm,9d,Wang et al. 2022,Results for each day of exposure available
17,Developmental toxicity and potential mechanisms exposed to polystyrene microplastics and polybrominated diphenyl ethers during early life stages of fat greenling (Hexagrammos otakii),Actinopterygii,Hexagrammos otakii,3,0.964,0.043,3,0.7338,0.0503,96.4,73.38,-23.02,*,Y,PS,1mg/L,27d,Shi et al. 2024,Results for multiple shorter exposure periods
18,Toxicity assessment of pollutants sorbed on environmental microplastics collected on beaches: Part II-adverse effects on Japanese medaka early life stages,Actinopterygii,Oryzias latipes,3,1,0,3,0.958,0.042,100,95.8,-4.2,NS,Y,LDPE + HDPE+ PP + PS+F17U19G17:Q18E17:Q1B18:Q18,1 mg/mL,8d,Pannetier et al. 2019,
19,Effects of Microplastic Pollution on Fish Health Using Japanese Medaka as a Model,Actinopterygii,Oryzias latipes,5,1,0,5,0.954,0.126,100,95.4,-4.6,*,N,PE,6 fibres/fish,21d,DiBona E. 2020,Results for fewer fibres/fish available
20,Mechanisms of parental co-exposure to polystyrene nanoplastics and microcystin-LR aggravated hatching inhibition of zebrafish offspring,Actinopterygii,Danio rerio,3,0.98,0.0041,3,0.9819,0.005,98,98.19,0.19,NS,Y,PS,100 ?g/L,"45d (parents, embryo clean)",Wu et al. 2021,Negative Significant Result seen with Microcystins
21,Enhanced toxicity of triphenyl phosphate to zebrafish in the presence of micro- and nano-plastics,Actinopterygii,Danio rerio,3,0.70666,0.0867,3,0.6866,0.15,70.666,68.66,-2.006,NS,Y,PS,2 mg/L,21d,He et al. 2021,
22,"Polystyrene microplastics cause tissue damages, sex-specific reproductive disruption and transgenerational effects in marine medaka (Oryzias melastigma)",Actinopterygii,Oryzias melastigma,3,0.8378,0.0428,3,0.8326,0.039,83.78,83.26,-0.52,NS,Y,PS,200??g/L,60d,Wang et al. 2019,
23,"Ecotoxicological impacts of polyethylene, polystyrene and polyamide on the land snail Cantareus aspersus in a life cycle experiment",Gastropoda,Cantareus aspersus,3,0.6266,0.0654,3,0.6014,0.0654,62.66,60.14,-2.52,NS,N,PS,"10?%, w/w",112d,Colpaert et al. 2025,"Also values for PA, PE"
24,Short- and medium-term effects of biodegradable microplastics (PLA and PHB) on earthworm development and reproduction,Clitellata,Eisenia andrei,5,0.677,0.167,5,0.33,0.38,67.7,33,-34.7,*,N,PE,0.125% w/w,112d,Gutiérrez-Rial et al. 2025,"Also data for PHB, PLA"
25,Effects of life cycle exposure to polystyrene microplastics on medaka fish (Oryzias latipes),Actinopterygii,Oryzias latipes,3,0.957,0.049069336,3,0.95,0.145864941,95.7,95,-0.7,NS,Y,PS,500 ?g/L,150d ,González-Doncel et al. 2022,Lower concentrations used too
26,Adaptation of life-history traits and trade-offs in marine medaka (Oryzias melastigma) after whole life-cycle exposure to polystyrene microplastics,Actinopterygii,Oryzias melastigma,3,0.8642,0.0533,3,0.7654,0.0124,86.42,76.54,-9.88,**,Y,PS,200 ?g/L,150d,Wang et al. 2021,Lower concentrations used too
27,Chronic microfiber exposure in adult Japanese medaka (Oryzias latipes),Actinopterygii,Oryzias latipes,2,0.9505,0.049069336,2,1,0.145864941,95.05,100,4.95,NS,Y,PP ,"10,000 fibers/L",21d,Hu et al. 2020,Also for PES
28,Polystyrene microplastics disrupt female reproductive health and fertility via sirt1 modulation in zebrafish (Danio rerio),Actinopterygii,Danio rerio,3,0.8874,0.0102,3,0.8619,0.0075,88.74,86.19,-2.55,***,Y,PS,500 ?g/L,60d + 3d,Gupta et al. 2023,Also lower concentration
29,Effects of pristine or contaminated polyethylene microplastics on zebrafish development,Actinopterygii,Danio rerio,11,0.965095,0.036994966,10,0.980864716,0.01860757,96.50949996,98.08647163,1.57697167,NS,N,PE,1% (w/w),60d,Tarasco et al. 2022,
3a,Sublethal effects of microplastic and oil co-exposure on biological rates and lipid profiles of keystone Arctic copepods,Copepoda,Calanus finmarchicus,3,0.9741,0.125,3,0.8267,0.12935,97.41,82.67,-14.74,*,Y,PE,20 MP mL?1,10d,Almeda et al. 2024,Used alongside Oil
3b,Sublethal effects of microplastic and oil co-exposure on biological rates and lipid profiles of keystone Arctic copepods,Copepoda,Calanus glacialis,3,0.9788,0.125,3,0.7562,0.12935,97.88,75.62,-22.26,*,Y,PE,20 MP mL?1,10d,Almeda et al. 2024,Used alongside Oil
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
